run,round,n_agents,config,agent,agent_idx,price,profit,avg_market_price
0,52,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.428571,0.142857,1.428571
0,53,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.642857,0.21428566666666665,1.642857
0,53,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.642857,0.21428566666666665,1.642857
0,53,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.642857,0.21428566666666665,1.642857
0,54,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.785714,0.2619046666666667,1.7857139999999998
0,54,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.785714,0.2619046666666667,1.7857139999999998
0,54,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.785714,0.2619046666666667,1.7857139999999998
0,55,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.428571,0.142857,1.428571
0,55,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.428571,0.142857,1.428571
0,55,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.428571,0.142857,1.428571
0,56,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.857143,0.2857143333333333,1.857143
0,56,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.857143,0.2857143333333333,1.857143
0,56,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.857143,0.2857143333333333,1.857143
0,57,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.428571,0.142857,1.428571
0,57,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.428571,0.142857,1.428571
0,57,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,2,1.428571,0.142857,1.428571
0,58,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,0,1.071429,0.023809666666666653,1.071429
0,58,3,"['Q-Learner', 'Q-Learner', 'Q-Learner']",Q-Learner,1,1.071429,0.023809666666666653,1.071429
